1,4925,755
2,4024,391
3,13,947
4,2119,605
5,133,230
6,3183,68
7,1887,212
8,3031,290
9,784,537
10,3987,910
11,4235,943
12,650,115
13,78,744
14,2153,690
15,1604,640
16,2483,93
17,4990,999
18,4876,346
19,4102,263
20,803,731
21,2375,754
22,33,436
23,160,640
24,1094,661
25,4912,540
26,182,904
27,265,527
28,4987,30
29,429,257
30,241,936
31,1482,259
32,2603,9
33,146,590
34,4092,303
35,789,845
36,2161,258
37,2854,634
38,357,240
39,94,263
40,3724,449
41,4378,784
42,418,178
43,28,605
44,1313,433
45,4192,853
46,1039,510
47,480,533
48,3897,597
49,4763,890
50,4805,144
51,1840,88
52,3541,280
53,59,625
54,1444,421
55,470,361
56,1891,102
57,3999,194
58,4208,545
59,4788,811
60,3535,680
61,3600,655
62,4456,707
63,135,17
64,4730,213
65,4085,423
66,4946,277
67,4435,31
68,328,549
69,3585,653
70,1237,293
71,3909,241
72,330,293
73,43,303
74,440,139
75,3161,903
76,2361,860
77,342,10
78,2150,756
79,3073,561
80,4708,217
81,4269,625
82,4715,438
83,22,64
84,1499,57
85,20,871
86,3507,731
87,4899,200
88,3165,124
89,3636,932
90,3926,447
91,57,508
92,1508,843
93,85,49
94,249,252
95,4074,37
96,1074,111
97,3409,33
98,4282,417
99,4508,717
100,3616,624
101,1578,744
102,2567,881
103,14,988
104,4872,3
105,1895,60
106,2962,334
107,4301,418
108,94,549
109,2444,453
110,745,511
111,534,7
112,2170,212
113,147,949
114,3418,234
115,4514,267
116,4435,474
117,1088,106
118,3871,301
119,1022,23
120,4891,912
121,755,212
122,2812,933
123,108,306
124,3918,56
125,2018,738
126,3679,221
127,4379,490
128,1637,606
129,2646,301
130,4276,338
131,976,2
132,4236,141
133,88,23
134,2925,313
135,1797,244
136,553,769
137,3371,775
138,1358,720
139,2308,552
140,1274,174
141,4192,532
142,1498,782
143,31,477
144,4307,63
145,2244,249
146,924,512
147,1904,233
148,4559,896
149,906,240
150,1860,306
151,1701,583
152,2238,552
153,23,166
154,817,429
155,4891,937
156,3175,893
157,1403,37
158,223,579
159,4308,391
160,1115,500
161,3945,11
162,4136,734
163,12,472
164,3264,465
165,214,531
166,1068,665
167,3105,434
168,1791,491
169,814,935
170,1690,871
171,3796,114
172,916,383
173,140,223
174,532,7
175,1389,891
176,3080,863
177,3172,167
178,3879,270
179,1793,727
180,3443,942
