250000
1569,967
600,433
778,1521
652,847
1933,261
983,805
823,593
284,1204
1182,1381
1501,1822
360,189
729,949
1089,1704
1917,1372
638,1746
1467,701
1548,1066
1419,837
356,252
1164,1596
1317,1832
999,1417
1440,20
715,306
227,433
722,149
1851,879
1726,1563
184,660
647,79
500,155
233,526
1422,22
277,1793
1727,1316
1774,1011
1670,1083
937,732
913,928
1988,1029
427,1531
1272,1199
413,402
594,1322
505,1021
1381,1006
1589,1314
1447,646
1065,832
496,1043
674,1690
462,1068
1524,875
294,1666
717,1261
734,629
570,835
120,356
749,987
799,1969
709,1892
1868,1773
1436,1671
1906,795
879,795
1506,1506
1660,637
394,1729
508,1637
1233,708
1615,1249
1972,49
1273,1300
1,979
841,443
201,1784
157,1852
495,1564
1762,1851
449,817
760,1415
166,242
1188,741
1280,35
1615,474
1455,140
1800,244
1245,475
565,1543
544,596
745,158
384,1929
428,1959
441,973
1794,1793
173,1312
825,246
1541,441
607,547
976,697
1248,1277
1124,1892
1052,1296
1610,595
1636,1021
732,998
292,720
848,1575
1729,1342
1720,1711
1132,1370
1177,890
1683,905
1987,1286
269,1840
1289,1631
122,597
1364,1106
1517,1590
700,1511
1359,1955
236,1353
1054,1367
1680,391
1981,539
1056,1203
547,349
1782,1917
26,1632
556,1715
515,437
1744,1095
1242,1696
1394,384
167,101
621,1242
727,609
1445,1901
682,1154
1841,428
1542,1469
1981,827
486,662
233,973
1802,1911
8,829
792,793
1802,881
1313,915
1891,1487
1632,15
1737,862
654,296
1842,164
1877,1954
1123,1972
989,905
531,6
1360,1491
1072,1250
630,1077
1085,326
1168,1466
1187,1274
878,521
1529,278
728,738
978,328
1181,1171
361,166
633,906
1145,1890
1513,514
1889,990
525,1749
28,1064
896,1667
62,622
803,1091
1352,1227
335,1661
691,1316
640,547
1008,1684
1200,635
8,1473
515,1473
1494,796
109,1202
1208,129
1485,519
942,1071
460,1241
1578,864
1729,519
1446,1760
1484,912
643,501
1459,1863
851,292
541,525
1888,1606
1241,309
1114,1628
1720,72
745,1346
1283,1988
376,562
571,597
1759,1944
24,266
158,1064
308,1730
1327,144
1228,1576
732,1300
203,477
1421,1102
1329,904
226,1075
1602,184
318,1707
834,1123
1605,505
1411,871
50,1244
1707,1150
349,1366
570,997
1125,828
805,813
1865,269
475,648
409,1667
218,1923
158,826
1225,742
221,979
75,1343
1450,9
417,161
1528,9
671,961
497,1503
1854,897
1648,979
1078,594
291,1768
581,1244
156,1732
1902,1683
445,835
1770,1164
1797,688
906,831
1407,198
850,1392
1858,953
850,208
765,1405
198,1559
536,1247
1791,1429
631,1326
416,281
49,43
1947,561
731,1348
18,1683
1084,269
388,238
1385,496
380,1381
1397,1472
344,1020
151,71
1017,1174
1885,1189
633,634
35,1080
1460,975
729,1864
1874,443
921,1375
346,393
90,1449
761,50
721,406
468,1601
456,1304
1181,1665
1964,1259
147,1031
710,1959
559,2000
1574,1013
1664,203
209,1276
689,1634
1904,980
295,1058
396,413
349,464
1006,550
118,186
1505,1534
551,1232
1510,1030
1680,697
437,1184
638,1784
1290,1990
557,859
1902,1207
1690,1885
1258,1111
1049,1675
1846,7
1429,21
1251,1891
358,1626
1188,314
748,1094
419,994
1995,466
941,956
423,96
984,595
1195,327
1716,1518
430,1651
1516,1556
1680,191
1741,1041
141,1206
1364,713
1102,138
1150,891
268,1883
1668,503
471,113
1858,562
1888,652
79,747
979,1030
517,1059
508,1046
1836,1930
711,784
1045,335
1631,503
389,1698
856,101
372,1740
945,201
1297,1639
1356,1940
707,1951
36,1132
1137,183
360,1672
903,1740
510,1595
181,1664
624,71
991,1647
1833,724
617,987
245,1696
912,1392
581,1440
1826,1738
1006,655
1588,886
464,698
1683,1027
1499,596
848,263
116,1133
749,229
1973,1499
932,832
1490,884
31,1225
833,433
995,1427
491,134
188,1259
1594,1195
1058,91
744,165
664,1143
1137,1345
1265,1988
1775,842
797,200
1628,1648
584,904
1519,1412
1904,145
196,512
1867,1594
294,1433
1997,896
1480,962
1639,49
1242,1877
730,321
17,1485
787,1739
667,1350
140,1221
764,539
803,138
280,682
1847,1495
1455,1228
1626,266
916,1787
908,1627
736,875
481,737
107,616
417,495
1653,1789
1250,206
1517,651
1034,1413
1591,1120
1275,1943
331,164
1219,830
1933,1499
594,800
1367,318
1112,1513
673,1823
894,1104
563,24
1093,691
1051,948
1087,907
803,381
1868,1076
1697,804
1740,1653
621,1850
667,1637
1946,1695
1702,1932
424,1154
410,1354
198,1608
1166,611
849,924
14,1694
83,7
1489,1891
1360,1510
1557,1930
794,552
724,866
1971,129
1950,1839
43,203
415,1621
259,1468
1099,424
586,1147
1247,1269
68,1301
1873,1770
1220,1883
77,318
1576,1546
1178,32
1329,350
1025,328
1521,3
488,339
371,955
1288,481
581,1659
1736,1270
1696,181
12,702
1882,1789
1184,1425
183,462
425,855
330,351
1286,1037
1488,1499
830,961
383,619
307,473
546,1363
273,242
1621,1569
1880,1591
